figmaVariableName,mode,value,type,alias,defaultMode
elevations/elevation-4,Light,"{""x"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""y"":{""$value"":{""value"":12,""unit"":""px""},""$type"":""number""},""blur"":{""$value"":{""value"":24,""unit"":""px""},""$type"":""number""},""spread"":{""$value"":{""value"":0,""unit"":""px""},""$type"":""number""},""color"":{""$value"":""{brand.palettes.neutral.default.color.tone}"",""$type"":""color""},""opacity"":{""$value"":{""value"":10,""unit"":""percentage""},""$type"":""number""}}",STRING,false,true
layers/layer-0/elements/interactive/color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-0/elements/interactive/hover-color,Dark,brand/palettes/palette-1/600/color/tone,COLOR,true,false
layers/layer-0/elements/text/warning,Dark,brand/palettes/core-colors/warning/tone,COLOR,true,false
layers/layer-0/elements/text/success,Dark,brand/palettes/core-colors/success/tone,COLOR,true,false
layers/layer-0/elements/text/color,Dark,brand/palettes/core-colors/white/tone,COLOR,true,false
layers/layer-0/elements/text/alert,Dark,brand/palettes/core-colors/alert/tone,COLOR,true,false
layers/layer-0/properties/elevation,Dark,brand/elevations/elevation-0,STRING,true,false
layers/layer-0/properties/surface,Dark,brand/palettes/neutral/000/color/tone,COLOR,true,false
layers/layer-0/properties/padding,Dark,tokens/sizes/3x,FLOAT,true,false
layers/layer-0/properties/border-color,Dark,brand/palettes/neutral/100/color/tone,COLOR,true,false
layers/layer-0/properties/border-radius,Dark,tokens/sizes/3x,FLOAT,true,false
layers/layer-0/properties/border-thickness,Dark,0,FLOAT,false,false
layers/layer-1/properties/border-thickness,Dark,2,FLOAT,false,false
layers/layer-1/properties/elevation,Dark,brand/elevations/elevation-0,STRING,true,false
layers/layer-1/properties/border-radius,Dark,tokens/sizes/3x,FLOAT,true,false
layers/layer-1/properties/border-color,Dark,brand/palettes/neutral/100/color/tone,COLOR,true,false
layers/layer-1/properties/surface,Dark,brand/palettes/neutral/050/color/tone,COLOR,true,false
layers/layer-1/properties/padding,Dark,tokens/sizes/3x,FLOAT,true,false
layers/layer-1/elements/text/warning,Dark,brand/palettes/core-colors/warning/tone,COLOR,true,false
layers/layer-1/elements/text/success,Dark,brand/palettes/core-colors/success/tone,COLOR,true,false
