figmaVariableName,mode,value,type,alias,defaultMode
components/avatar/variants/sizes/small/properties/text/text-transform,2,none,STRING,false,false
components/avatar/variants/sizes/small/properties/text/text-transform,3,none,STRING,false,false
components/avatar/variants/sizes/small/properties/text/font-style,0,normal,STRING,false,true
components/avatar/variants/sizes/small/properties/text/font-style,1,normal,STRING,false,false
components/avatar/variants/sizes/small/properties/text/font-style,2,normal,STRING,false,false
components/avatar/variants/sizes/small/properties/text/font-style,3,normal,STRING,false,false
components/avatar/variants/sizes/default/properties/size,0,40,FLOAT,false,true
components/avatar/variants/sizes/default/properties/size,1,40,FLOAT,false,false
components/avatar/variants/sizes/default/properties/size,2,40,FLOAT,false,false
components/avatar/variants/sizes/default/properties/size,3,40,FLOAT,false,false
components/avatar/variants/sizes/default/properties/text/font-family,0,tokens/font/typefaces/primary,STRING,true,true
components/avatar/variants/sizes/default/properties/text/font-family,1,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/default/properties/text/font-family,2,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/default/properties/text/font-family,3,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/default/properties/text/font-size,0,tokens/font/sizes/sm,FLOAT,true,true
components/avatar/variants/sizes/default/properties/text/font-size,1,tokens/font/sizes/sm,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/font-size,2,tokens/font/sizes/sm,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/font-size,3,tokens/font/sizes/sm,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/font-weight,0,tokens/font/weights/regular,FLOAT,true,true
components/avatar/variants/sizes/default/properties/text/font-weight,1,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/font-weight,2,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/font-weight,3,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/letter-spacing,0,tokens/font/letter-spacings/default,STRING,true,true
components/avatar/variants/sizes/default/properties/text/letter-spacing,1,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/default/properties/text/letter-spacing,2,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/default/properties/text/letter-spacing,3,tokens/font/letter-spacings/default,STRING,true,false
components/avatar/variants/sizes/default/properties/text/line-height,0,tokens/font/line-heights/default,FLOAT,true,true
components/avatar/variants/sizes/default/properties/text/line-height,1,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/line-height,2,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/line-height,3,tokens/font/line-heights/default,FLOAT,true,false
components/avatar/variants/sizes/default/properties/text/text-decoration,0,none,STRING,false,true
components/avatar/variants/sizes/default/properties/text/text-decoration,1,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/text-decoration,2,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/text-decoration,3,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/text-transform,0,none,STRING,false,true
components/avatar/variants/sizes/default/properties/text/text-transform,1,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/text-transform,2,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/text-transform,3,none,STRING,false,false
components/avatar/variants/sizes/default/properties/text/font-style,0,normal,STRING,false,true
components/avatar/variants/sizes/default/properties/text/font-style,1,normal,STRING,false,false
components/avatar/variants/sizes/default/properties/text/font-style,2,normal,STRING,false,false
components/avatar/variants/sizes/default/properties/text/font-style,3,normal,STRING,false,false
components/avatar/variants/sizes/large/properties/size,0,64,FLOAT,false,true
components/avatar/variants/sizes/large/properties/size,1,64,FLOAT,false,false
components/avatar/variants/sizes/large/properties/size,2,64,FLOAT,false,false
components/avatar/variants/sizes/large/properties/size,3,64,FLOAT,false,false
components/avatar/variants/sizes/large/properties/text/font-family,0,tokens/font/typefaces/primary,STRING,true,true
components/avatar/variants/sizes/large/properties/text/font-family,1,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/large/properties/text/font-family,2,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/large/properties/text/font-family,3,tokens/font/typefaces/primary,STRING,true,false
components/avatar/variants/sizes/large/properties/text/font-size,0,tokens/font/sizes/md,FLOAT,true,true
components/avatar/variants/sizes/large/properties/text/font-size,1,tokens/font/sizes/md,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/font-size,2,tokens/font/sizes/md,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/font-size,3,tokens/font/sizes/md,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/font-weight,0,tokens/font/weights/regular,FLOAT,true,true
components/avatar/variants/sizes/large/properties/text/font-weight,1,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/font-weight,2,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/font-weight,3,tokens/font/weights/regular,FLOAT,true,false
components/avatar/variants/sizes/large/properties/text/letter-spacing,0,tokens/font/letter-spacings/default,STRING,true,true
components/avatar/variants/sizes/large/properties/text/letter-spacing,1,tokens/font/letter-spacings/default,STRING,true,false
