collection,figmaVariableName,mode,value,type,alias,defaultMode
layer,components/dropdown/variants/states/default/properties/border-size,2,1,FLOAT,false,false
layer,components/dropdown/variants/states/default/properties/border-size,3,1,FLOAT,false,false
layer,components/dropdown/variants/states/error/properties/colors/background,0,ui-kit/globals/form/field/colors/background,COLOR,true,true
layer,components/dropdown/variants/states/error/properties/colors/background,1,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/background,2,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/background,3,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/text,0,ui-kit/globals/form/field/colors/text-valued,COLOR,true,true
layer,components/dropdown/variants/states/error/properties/colors/text,1,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/text,2,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/text,3,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/leading-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/error/properties/colors/leading-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/leading-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/leading-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/trailing-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/error/properties/colors/trailing-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/trailing-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/trailing-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/border-color,0,ui-kit/globals/form/field/colors/border-error,COLOR,true,true
layer,components/dropdown/variants/states/error/properties/colors/border-color,1,ui-kit/globals/form/field/colors/border-error,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/border-color,2,ui-kit/globals/form/field/colors/border-error,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/colors/border-color,3,ui-kit/globals/form/field/colors/border-error,COLOR,true,false
layer,components/dropdown/variants/states/error/properties/border-size,0,1,FLOAT,false,true
layer,components/dropdown/variants/states/error/properties/border-size,1,1,FLOAT,false,false
layer,components/dropdown/variants/states/error/properties/border-size,2,1,FLOAT,false,false
layer,components/dropdown/variants/states/error/properties/border-size,3,1,FLOAT,false,false
layer,components/dropdown/variants/states/focus/properties/colors/background,0,ui-kit/globals/form/field/colors/background,COLOR,true,true
layer,components/dropdown/variants/states/focus/properties/colors/background,1,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/background,2,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/background,3,ui-kit/globals/form/field/colors/background,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/text,0,ui-kit/globals/form/field/colors/text-valued,COLOR,true,true
layer,components/dropdown/variants/states/focus/properties/colors/text,1,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/text,2,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/text,3,ui-kit/globals/form/field/colors/text-valued,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/leading-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/focus/properties/colors/leading-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/leading-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/leading-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/trailing-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/focus/properties/colors/trailing-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/trailing-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/trailing-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/border-color,0,ui-kit/globals/form/field/colors/border-focus,COLOR,true,true
layer,components/dropdown/variants/states/focus/properties/colors/border-color,1,ui-kit/globals/form/field/colors/border-focus,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/border-color,2,ui-kit/globals/form/field/colors/border-focus,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/colors/border-color,3,ui-kit/globals/form/field/colors/border-focus,COLOR,true,false
layer,components/dropdown/variants/states/focus/properties/border-size,0,2,FLOAT,false,true
layer,components/dropdown/variants/states/focus/properties/border-size,1,2,FLOAT,false,false
layer,components/dropdown/variants/states/focus/properties/border-size,2,2,FLOAT,false,false
layer,components/dropdown/variants/states/focus/properties/border-size,3,2,FLOAT,false,false
layer,components/dropdown/variants/states/disabled/properties/colors/background,0,ui-kit/globals/form/field/colors/disabled-background,COLOR,true,true
layer,components/dropdown/variants/states/disabled/properties/colors/background,1,ui-kit/globals/form/field/colors/disabled-background,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/background,2,ui-kit/globals/form/field/colors/disabled-background,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/background,3,ui-kit/globals/form/field/colors/disabled-background,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/text,0,ui-kit/globals/form/field/colors/disabled-text,COLOR,true,true
layer,components/dropdown/variants/states/disabled/properties/colors/text,1,ui-kit/globals/form/field/colors/disabled-text,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/text,2,ui-kit/globals/form/field/colors/disabled-text,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/text,3,ui-kit/globals/form/field/colors/disabled-text,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/leading-icon,0,ui-kit/globals/form/field/colors/icon,COLOR,true,true
layer,components/dropdown/variants/states/disabled/properties/colors/leading-icon,1,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/leading-icon,2,ui-kit/globals/form/field/colors/icon,COLOR,true,false
layer,components/dropdown/variants/states/disabled/properties/colors/leading-icon,3,ui-kit/globals/form/field/colors/icon,COLOR,true,false
